02:02:42.626 [main] INFO  resources.Listeners - Begin Test Case: [GetServiceLowerBoundaryCase]
02:02:42.632 [main] INFO  resources.Listeners - ======================================================
02:02:42.793 [main] INFO  core.ResponseValidators - [Validating Status Code]: Received Status Code = 404. Matches the Expected.
02:02:42.793 [main] INFO  resources.Listeners - ======================================================
02:02:42.793 [main] INFO  resources.Listeners - Passed Test Case: [GetServiceLowerBoundaryCase]
02:02:42.793 [main] INFO  resources.Listeners - ======================================================
02:02:42.794 [main] INFO  resources.Listeners - ======================================================
02:02:42.794 [main] INFO  resources.Listeners - Begin Test Case: [GetServiceUpperBoundaryCase]
02:02:42.794 [main] INFO  resources.Listeners - ======================================================
02:02:42.965 [main] INFO  core.ResponseValidators - [Validating Status Code]: Received Status Code = 404. Matches the Expected.
02:02:42.965 [main] INFO  resources.Listeners - ======================================================
02:02:42.965 [main] INFO  resources.Listeners - Passed Test Case: [GetServiceUpperBoundaryCase]
02:02:42.965 [main] INFO  resources.Listeners - ======================================================
